
GrupoA

~/ensino/private/comp/e2/GrupoA ~/ensino/private/comp/e2
mkdir -p ./build
bison  --defines=./build/parser.h --output=./build/parser.c src/parser.y
flex -i -I -c -o build/lex_scanner.c ./src/scanner.l
gcc    -c -o build/lex_scanner.o build/lex_scanner.c
gcc    -c -o build/parser.o build/parser.c
gcc -g -Wall -I./include -I./build -lfl -c -o build/main.o src/main.c
gcc -g -Wall -I./include -I./build -lfl -o etapa2 build/lex_scanner.o build/parser.o build/main.o
GrupoA - asl01 - 0 - ""
GrupoA - asl02 - 0 - ""
GrupoA - asl03 - 0 - ""
GrupoA - asl04 - 0 - ""
GrupoA - asl05 - 0 - ""
GrupoA - asl06 - 0 - ""
GrupoA - asl07 - 0 - ""
GrupoA - asl08 - 0 - ""
GrupoA - asl09 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl10 - 1 - "'syntax error, unexpected TK_IDENTIFICADOR, expecting end of file' at line 2 "
GrupoA - asl11 - 1 - "'syntax error, unexpected end of file, expecting ';'' at line 3 "
GrupoA - asl12 - 1 - "'syntax error, unexpected TK_OC_LE, expecting ';'' at line 2 "
GrupoA - asl13 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl14 - 1 - "'syntax error, unexpected TK_PR_CLASS' at line 4 "
GrupoA - asl15 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl16 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl17 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl18 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl19 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl20 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl21 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl22 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl23 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl24 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl25 - 0 - ""
GrupoA - asl26 - 1 - "'syntax error, unexpected ';', expecting end of file' at line 4 "
GrupoA - asl27 - 0 - ""
GrupoA - asl28 - 0 - ""
GrupoA - asl29 - 1 - "'syntax error, unexpected '[', expecting ')'' at line 2 "
GrupoA - asl30 - 0 - ""
GrupoA - asl31 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 4 "
GrupoA - asl32 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 6 "
GrupoA - asl33 - 0 - ""
GrupoA - asl34 - 1 - "'syntax error, unexpected TK_PR_INT, expecting ';'' at line 5 "
GrupoA - asl35 - 0 - ""
GrupoA - asl36 - 0 - ""
GrupoA - asl37 - 0 - ""
GrupoA - asl38 - 0 - ""
GrupoA - asl39 - 0 - ""
GrupoA - asl40 - 1 - "'syntax error, unexpected '[', expecting ';'' at line 4 "
GrupoA - asl41 - 0 - ""
GrupoA - asl42 - 0 - ""
GrupoA - asl43 - 0 - ""
GrupoA - asl44 - 0 - ""
GrupoA - asl45 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl46 - 0 - ""
GrupoA - asl47 - 0 - ""
GrupoA - asl48 - 0 - ""
GrupoA - asl49 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl50 - 0 - ""
GrupoA - asl51 - 0 - ""
GrupoA - asl52 - 1 - "'syntax error, unexpected '+', expecting ';'' at line 7 "
GrupoA - asl53 - 0 - ""
GrupoA - asl54 - 0 - ""
GrupoA - asl55 - 1 - "'syntax error, unexpected invalid token' at line 5 "
GrupoA - asl56 - 0 - ""
GrupoA - asl57 - 0 - ""
GrupoA - asl58 - 0 - ""
GrupoA - asl59 - 0 - ""
GrupoA - asl60 - 0 - ""
GrupoA - asl61 - 1 - "'syntax error, unexpected TK_PR_CASE' at line 4 "
GrupoA - asl62 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 5 "
GrupoA - asl63 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 8 "
GrupoA - asl64 - 1 - "'syntax error, unexpected TK_PR_FOREACH, expecting '}'' at line 6 "
GrupoA - asl65 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 8 "
GrupoA - asl66 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 7 "
GrupoA - asl67 - 1 - "'syntax error, unexpected TK_PR_DO, expecting '}'' at line 5 "
GrupoA - asl68 - 1 - "'syntax error, unexpected TK_PR_OUTPUT, expecting TK_IDENTIFICADOR' at line 4 "
GrupoA - asl69 - 1 - "'syntax error, unexpected TK_PR_CASE, expecting TK_IDENTIFICADOR' at line 4 "
GrupoA - asl70 - 1 - "'syntax error, unexpected TK_PR_SWITCH, expecting '}'' at line 6 "
GrupoA - asl71 - 1 - "'syntax error, unexpected TK_PR_DO, expecting '}'' at line 6 "
GrupoA - asl72 - 1 - "'syntax error, unexpected '%', expecting ';'' at line 5 "
GrupoA - asl73 - 1 - "'syntax error, unexpected '%', expecting ';'' at line 5 "
GrupoA - asl74 - 1 - "'syntax error, unexpected '%', expecting ';'' at line 5 "
GrupoA - asl75 - 1 - "'syntax error, unexpected '>'' at line 5 "
GrupoA - asl76 - 0 - ""
GrupoA - asl77 - 0 - ""
GrupoA - asl78 - 0 - ""
GrupoA - asl79 - 0 - ""
GrupoA - asl80 - 1 - "'syntax error, unexpected ';', expecting '}'' at line 4 "
GrupoA - asl81 - 0 - ""
GrupoA - asl82 - 1 - "'syntax error, unexpected ';', expecting TK_IDENTIFICADOR' at line 2 "
GrupoA - asl83 - 1 - "'syntax error, unexpected ';', expecting end of file' at line 2 "
GrupoA - asl84 - 1 - "'syntax error, unexpected TK_PR_FLOAT, expecting '{'' at line 3 "
GrupoA - asl85 - 1 - "'syntax error, unexpected ';'' at line 4 "
GrupoA - asl86 - 1 - "'syntax error, unexpected ')'' at line 2 "
GrupoA - asl87 - 1 - "'syntax error, unexpected TK_IDENTIFICADOR, expecting end of file' at line 6 "
GrupoA - asl88 - 1 - "'syntax error, unexpected '}', expecting '{'' at line 6 "
GrupoA - asl89 - 1 - "'syntax error, unexpected ';'' at line 4 "
GrupoA - asl90 - 1 - "'syntax error, unexpected ',', expecting ';'' at line 7 "
GrupoA - asl91 - 1 - "'syntax error, unexpected ',', expecting ';'' at line 7 "
GrupoA - asl92 - 1 - "'syntax error, unexpected TK_LIT_INT, expecting ']'' at line 4 "
GrupoA - asl93 - 1 - "'syntax error, unexpected '=', expecting ';'' at line 4 "
GrupoA - asl94 - 1 - "'syntax error, unexpected TK_PR_DO, expecting ')'' at line 4 "
GrupoA - asl95 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl96 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl97 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl98 - 1 - "'syntax error, unexpected ']', expecting TK_LIT_INT' at line 2 "
GrupoA - asl99 - 1 - "'syntax error, unexpected '[', expecting TK_IDENTIFICADOR' at line 2 "
GrupoA - asl100 - 1 - "'syntax error, unexpected TK_IDENTIFICADOR, expecting end of file' at line 2 "
GrupoA - asl101 - 1 - "'syntax error, unexpected TK_PR_STATIC' at line 2 "
GrupoA - asl102 - 1 - "'syntax error, unexpected TK_PR_CONST, expecting end of file' at line 2 "
GrupoA - asl103 - 0 - ""
GrupoA - asl104 - 1 - "'syntax error, unexpected '[', expecting ')'' at line 2 "
GrupoA - asl105 - 1 - "'syntax error, unexpected '(', expecting ';'' at line 2 "
GrupoA - asl106 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl107 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl108 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl109 - 1 - "'syntax error, unexpected TK_PR_CLASS' at line 2 "
GrupoA - asl110 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl111 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
GrupoA - asl112 - 1 - "'syntax error, unexpected TK_PR_CLASS, expecting end of file' at line 2 "
