Teste,Esperado
asl01,0
asl02,0
asl03,0
asl04,0
asl05,0
asl06,0
asl07,0
asl08,0
asl09,1
asl10,1
asl11,1
asl12,1
asl13,1
asl14,1
asl15,1
asl16,1
asl17,1
asl18,1
asl19,1
asl20,1
asl21,1
asl22,1
asl23,1
asl24,1
asl25,0
asl26,1
asl27,0
asl28,0
asl29,1
asl30,0
asl31,0
asl32,0
asl33,0
asl34,1
asl35,0
asl36,0
asl37,0
asl38,0
asl39,0
asl40,1
asl41,0
asl42,0
asl43,0
asl44,0
asl45,1
asl46,0
asl47,0
asl48,0
asl49,1
asl50,0
asl51,0
asl52,1
asl53,0
asl54,0
asl55,1
asl56,0
asl57,0
asl58,0
asl59,0
asl60,0
asl61,1
asl62,0
asl63,0
asl64,1
asl65,0
asl66,0
asl67,1
asl68,1
asl69,1
asl70,1
asl71,1
asl72,1
asl73,1
asl74,1
asl75,1
asl76,0
asl77,0
asl78,0
asl79,0
asl80,0
asl81,0
asl82,1
asl83,1
asl84,1
asl85,1
asl86,1
asl87,1
asl88,1
asl89,1
asl90,1
asl91,1
asl92,1
asl93,1
asl94,1
asl95,1
asl96,1
asl97,1
asl98,1
asl99,1
asl100,1
asl101,1
asl102,1
asl103,0
asl104,1
asl105,1
asl106,1
asl107,1
asl108,1
asl109,1
asl110,1
asl111,1
asl112,1
asl113,1
asl114,0
asl115,1
asl116,1
asl117,1
asl118,1
asl119,1
asl120,0
asl121,1
asl122,1
asl123,1
asl124,1
asl125,1
asl126,1
asl127,1
asl128,1
asl129,0
asl130,1
asl131,1
asl132,1
asl133,1
asl134,1
asl135,1
asl136,1
asl137,1
asl138,0
asl139,0
asl140,0
asl141,0
asl142,0
asl143,0
asl144,0
asl145,0
asl146,0
asl147,0
asl148,0
asl149,0
asl150,0
asl151,0
asl152,1
asl153,0
asl154,0
asl155,1
asl156,1
asl157,0
asl158,0
asl159,1
asl160,0
asl161,0
asl162,0
asl163,0
asl164,1
asl165,1
asl166,0
asl167,0
asl168,0
asl169,1
