Grupo,Test,Command,Result
GrupoA,100,TRUE,FALSE
GrupoB,91,TRUE,FALSE
GrupoB,100,TRUE,FALSE
GrupoC,91,TRUE,FALSE
GrupoD,91,TRUE,FALSE
GrupoF,54,TRUE,FALSE
GrupoF,55,TRUE,FALSE
GrupoF,85,TRUE,FALSE
GrupoF,86,TRUE,FALSE
GrupoF,91,TRUE,FALSE
GrupoF,100,TRUE,FALSE
GrupoG,91,TRUE,FALSE
GrupoH,49,TRUE,FALSE
GrupoH,74,TRUE,FALSE
GrupoH,75,TRUE,FALSE
GrupoH,91,TRUE,FALSE
GrupoH,100,TRUE,FALSE
GrupoI,82,FALSE,FALSE
GrupoI,87,FALSE,FALSE
GrupoI,91,TRUE,FALSE
GrupoJ,62,TRUE,FALSE
GrupoJ,63,TRUE,FALSE
GrupoJ,65,TRUE,FALSE
GrupoJ,66,TRUE,FALSE
GrupoJ,91,TRUE,FALSE
GrupoJ,96,TRUE,FALSE
GrupoJ,97,TRUE,FALSE
GrupoJ,99,TRUE,FALSE
GrupoJ,100,TRUE,FALSE
GrupoK,91,TRUE,FALSE
GrupoK,95,TRUE,FALSE
GrupoK,100,TRUE,FALSE
GrupoL,91,TRUE,FALSE
GrupoM,47,TRUE,FALSE
GrupoM,91,TRUE,FALSE
GrupoN,1,TRUE,FALSE
GrupoN,2,TRUE,FALSE
GrupoN,3,TRUE,FALSE
GrupoN,4,TRUE,FALSE
GrupoN,5,TRUE,FALSE
GrupoN,6,TRUE,FALSE
GrupoN,7,TRUE,FALSE
GrupoN,8,TRUE,FALSE
GrupoN,9,TRUE,FALSE
GrupoN,10,TRUE,FALSE
GrupoN,11,TRUE,FALSE
GrupoN,12,TRUE,FALSE
GrupoN,13,TRUE,FALSE
GrupoN,14,TRUE,FALSE
GrupoN,15,TRUE,FALSE
GrupoN,16,TRUE,FALSE
GrupoN,17,TRUE,FALSE
GrupoN,18,TRUE,FALSE
GrupoN,19,TRUE,FALSE
GrupoN,20,TRUE,FALSE
GrupoN,21,TRUE,FALSE
GrupoN,22,TRUE,FALSE
GrupoN,23,TRUE,FALSE
GrupoN,24,TRUE,FALSE
GrupoN,25,TRUE,FALSE
GrupoN,26,TRUE,FALSE
GrupoN,27,TRUE,FALSE
GrupoN,28,TRUE,FALSE
GrupoN,29,TRUE,FALSE
GrupoN,30,TRUE,FALSE
GrupoN,31,TRUE,FALSE
GrupoN,32,TRUE,FALSE
GrupoN,33,TRUE,FALSE
GrupoN,34,TRUE,FALSE
GrupoN,35,TRUE,FALSE
GrupoN,36,TRUE,FALSE
GrupoN,37,TRUE,FALSE
GrupoN,38,TRUE,FALSE
GrupoN,39,TRUE,FALSE
GrupoN,40,TRUE,FALSE
GrupoN,41,TRUE,FALSE
GrupoN,42,TRUE,FALSE
GrupoN,43,TRUE,FALSE
GrupoN,44,TRUE,FALSE
GrupoN,45,TRUE,FALSE
GrupoN,46,TRUE,FALSE
GrupoN,47,TRUE,FALSE
GrupoN,48,TRUE,FALSE
GrupoN,49,TRUE,FALSE
GrupoN,50,TRUE,FALSE
GrupoN,51,TRUE,FALSE
GrupoN,52,TRUE,FALSE
GrupoN,53,TRUE,FALSE
GrupoN,54,TRUE,FALSE
GrupoN,55,TRUE,FALSE
GrupoN,56,TRUE,FALSE
GrupoN,57,TRUE,FALSE
GrupoN,58,TRUE,FALSE
GrupoN,59,TRUE,FALSE
GrupoN,60,TRUE,FALSE
GrupoN,61,TRUE,FALSE
GrupoN,62,TRUE,FALSE
GrupoN,63,TRUE,FALSE
GrupoN,64,TRUE,FALSE
GrupoN,65,TRUE,FALSE
GrupoN,66,TRUE,FALSE
GrupoN,67,TRUE,FALSE
GrupoN,68,TRUE,FALSE
GrupoN,69,TRUE,FALSE
GrupoN,70,TRUE,FALSE
GrupoN,71,TRUE,FALSE
GrupoN,72,TRUE,FALSE
GrupoN,73,TRUE,FALSE
GrupoN,74,TRUE,FALSE
GrupoN,75,TRUE,FALSE
GrupoN,76,TRUE,FALSE
GrupoN,77,TRUE,FALSE
GrupoN,78,TRUE,FALSE
GrupoN,79,TRUE,FALSE
GrupoN,80,TRUE,FALSE
GrupoN,81,TRUE,FALSE
GrupoN,85,TRUE,FALSE
GrupoN,86,TRUE,FALSE
GrupoN,91,TRUE,FALSE
GrupoN,96,TRUE,FALSE
GrupoN,97,TRUE,FALSE
GrupoN,98,TRUE,FALSE
GrupoN,99,TRUE,FALSE
GrupoO,58,FALSE,FALSE
GrupoO,59,FALSE,FALSE
GrupoO,60,FALSE,FALSE
GrupoO,81,FALSE,FALSE
GrupoO,83,FALSE,FALSE
GrupoO,84,FALSE,FALSE
GrupoO,88,FALSE,FALSE
GrupoO,89,FALSE,FALSE
GrupoO,91,TRUE,FALSE
GrupoO,98,TRUE,FALSE
GrupoO,99,TRUE,FALSE
GrupoP,91,TRUE,FALSE
GrupoQ,91,TRUE,FALSE
GrupoQ,94,TRUE,FALSE
GrupoQ,100,TRUE,FALSE
GrupoR,74,TRUE,FALSE
GrupoR,75,TRUE,FALSE
GrupoR,90,TRUE,FALSE
GrupoR,91,TRUE,FALSE
GrupoS,91,TRUE,FALSE
GrupoT,38,TRUE,FALSE
GrupoT,54,TRUE,FALSE
GrupoT,55,TRUE,FALSE
GrupoT,91,TRUE,FALSE
GrupoT,95,TRUE,FALSE
GrupoV,47,TRUE,FALSE
GrupoV,91,TRUE,FALSE
GrupoW,58,TRUE,FALSE
GrupoW,59,TRUE,FALSE
GrupoW,60,TRUE,FALSE
GrupoW,72,TRUE,FALSE
GrupoW,73,TRUE,FALSE
GrupoW,93,TRUE,FALSE
