Teste,Esperado
asl001,0
asl002,0
asl003,0
asl004,0
asl005,0
asl006,0
asl007,0
asl008,0
asl009,1
asl010,1
asl011,1
asl012,1
asl013,1
asl014,1
asl015,1
asl016,1
asl017,1
asl018,1
asl019,1
asl020,1
asl021,1
asl022,1
asl023,1
asl024,1
asl025,0
asl026,1
asl027,0
asl028,0
asl029,1
asl030,0
asl031,0
asl032,0
asl033,0
asl034,1
asl035,0
asl036,0
asl037,0
asl038,0
asl039,0
asl040,1
asl041,0
asl042,0
asl043,0
asl044,0
asl045,1
asl046,0
asl047,0
asl048,0
asl049,1
asl050,0
asl051,0
asl052,1
asl053,0
asl054,0
asl055,1
asl056,0
asl057,0
asl058,0
asl059,0
asl060,0
asl061,1
asl062,0
asl063,0
asl064,1
asl065,0
asl066,0
asl067,1
asl068,1
asl069,1
asl070,1
asl071,1
asl072,1
asl073,1
asl074,1
asl075,1
asl076,0
asl077,0
asl078,0
asl079,0
asl080,0
asl081,0
asl082,1
asl083,1
asl084,1
asl085,1
asl086,1
asl087,1
asl088,1
asl089,1
asl090,1
asl091,1
asl092,1
asl093,1
asl094,1
asl095,1
asl096,1
asl097,1
asl098,1
asl099,1
asl100,1
asl101,1
asl102,1
asl103,0
asl104,1
asl105,1
asl106,1
asl107,1
asl108,1
asl109,1
asl110,1
asl111,1
asl112,1
asl113,1
asl114,0
asl115,1
asl116,1
asl117,1
asl118,1
asl119,1
asl120,0
asl121,1
asl122,1
asl123,1
asl124,1
asl125,1
asl126,1
asl127,1
asl128,1
asl129,0
asl130,1
asl131,1
asl132,1
asl133,1
asl134,1
asl135,1
asl136,1
asl137,1
asl138,0
asl139,0
asl140,0
asl141,0
asl142,0
asl143,0
asl144,0
asl145,0
asl146,0
asl147,0
asl148,0
asl149,0
asl150,0
asl151,0
asl152,1
asl153,0
asl154,0
asl155,1
asl156,1
asl157,0
asl158,0
asl159,1
asl160,1
asl161,1
asl162,0
asl163,1
asl164,1
asl165,1
asl166,0
asl167,1
asl168,0
asl169,1
asl170,1
asl171,1
asl172,0
asl173,0
asl174,1
asl175,1
asl176,0
asl177,0
asl178,1
asl179,1
asl180,1
asl181,1
asl182,1
asl183,1
asl184,1
asl185,1
asl186,1
asl187,0
asl188,0
asl189,0
asl190,0
asl191,1
asl192,0
